"Station Name","WRIGLEY A"
"Province","NORTHWEST TERRITORIES"
"Latitude","63.21"
"Longitude","-123.44"
"Elevation","149.70"
"Climate Identifier","2204000"
"WMO Identifier",""
"TC Identifier","YWY"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-02","2010","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-03","2010","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-04","2010","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-05","2010","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-06","2010","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-07","2010","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-08","2010","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-09","2010","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-10","2010","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-11","2010","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-12","2010","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-13","2010","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-14","2010","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-15","2010","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-16","2010","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-17","2010","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-18","2010","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-19","2010","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-20","2010","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-21","2010","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-22","2010","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-23","2010","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-24","2010","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-25","2010","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-26","2010","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-27","2010","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-28","2010","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-29","2010","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-30","2010","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-31","2010","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-01","2010","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-02","2010","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-03","2010","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-04","2010","02","04","†","-27.8","","-36.0","","-31.9","","49.9","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"2010-02-05","2010","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-06","2010","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-07","2010","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-08","2010","02","08","†","-13.0","","-23.0","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"2010-02-09","2010","02","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"2010-02-10","2010","02","10","†","-18.0","","-30.0","","-24.0","","42.0","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"2010-02-11","2010","02","11","†","-15.0","","-23.6","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"2010-02-12","2010","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-13","2010","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-14","2010","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-15","2010","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-16","2010","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-17","2010","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-18","2010","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-19","2010","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-20","2010","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-21","2010","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-22","2010","02","22","†","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"2010-02-23","2010","02","23","†","-4.8","","-22.0","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"2010-02-24","2010","02","24","†","-16.6","","-22.0","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"2010-02-25","2010","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-26","2010","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-27","2010","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-28","2010","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-01","2010","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-02","2010","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-03","2010","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-04","2010","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-05","2010","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-06","2010","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-07","2010","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-08","2010","03","08","†","1.5","","-17.0","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"2010-03-09","2010","03","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"2010-03-10","2010","03","10","†","5.0","","-2.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"2010-03-11","2010","03","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"2010-03-12","2010","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-13","2010","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-14","2010","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-15","2010","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-16","2010","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-17","2010","03","17","†","0.0","","-20.5","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"2010-03-18","2010","03","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"2010-03-19","2010","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-20","2010","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-21","2010","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-22","2010","03","22","†","0.0","","-34.6","","-17.3","","35.3","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"2010-03-23","2010","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-24","2010","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-25","2010","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-26","2010","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-27","2010","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-28","2010","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-29","2010","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-30","2010","03","30","†","","","","","","","","","","","0.0","","0.0","","0.0","","46","","","","",""
"2010-03-31","2010","03","31","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2010-04-01","2010","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-02","2010","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-03","2010","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-04","2010","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-05","2010","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-06","2010","04","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","44","","","","",""
"2010-04-07","2010","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-08","2010","04","08","†","3.0","","-8.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"2010-04-09","2010","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-10","2010","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-11","2010","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-12","2010","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-13","2010","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-14","2010","04","14","†","13.0","","-6.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"2010-04-15","2010","04","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","18","","","","",""
"2010-04-16","2010","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-17","2010","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-18","2010","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-19","2010","04","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","5","","","","",""
"2010-04-20","2010","04","20","†","21.0","","2.0","","11.5","","6.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-04-21","2010","04","21","†","","","5.7","","13.9","","4.1","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-04-22","2010","04","22","†","8.1","","2.0","","5.1","","12.9","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-04-23","2010","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-24","2010","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-25","2010","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-26","2010","04","26","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2010-04-27","2010","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-28","2010","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-29","2010","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-30","2010","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-01","2010","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-02","2010","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-03","2010","05","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-04","2010","05","04","†","9.0","","1.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-05","2010","05","05","†","11.0","","-6.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-06","2010","05","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-07","2010","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-08","2010","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-09","2010","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-10","2010","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-11","2010","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-12","2010","05","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-13","2010","05","13","†","15.0","","4.0","","9.5","","8.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-14","2010","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-15","2010","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-16","2010","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-17","2010","05","17","†","18.9","","-2.0","","8.5","","9.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-18","2010","05","18","†","15.9","","-2.0","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-19","2010","05","19","†","18.0","","6.5","","12.3","","5.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-20","2010","05","20","†","17.0","","7.0","","12.0","","6.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-21","2010","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-22","2010","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-23","2010","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-24","2010","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-25","2010","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-26","2010","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-27","2010","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-28","2010","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-29","2010","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-30","2010","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-31","2010","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-01","2010","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-02","2010","06","02","†","26.9","","7.0","","17.0","","1.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-03","2010","06","03","†","27.0","","8.8","","17.9","","0.1","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-04","2010","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-05","2010","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-06","2010","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-07","2010","06","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-08","2010","06","08","†","22.0","","8.8","","15.4","","2.6","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-09","2010","06","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-10","2010","06","10","†","25.1","","5.9","","15.5","","2.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-11","2010","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-12","2010","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-13","2010","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-14","2010","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-15","2010","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-16","2010","06","16","†","27.0","","16.0","","21.5","","0.0","","3.5","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-17","2010","06","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-18","2010","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-19","2010","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-20","2010","06","20","","","","","","","","","","","","","","","","","","","","","","",""
